,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,subject,condition,fix_binarized
2,3,burger,1.0,0,1,sub021,free viewing,1.0
3,4,salad,2.0,1,1,sub021,free viewing,1.0
4,5,brunch,3.0,1,1,sub021,free viewing,1.0
5,6,texting_driving,3.0,0,1,sub021,free viewing,1.0
6,7,hotel,3.0,1,1,sub021,free viewing,1.0
7,8,smartphone,2.0,0,1,sub021,free viewing,1.0
8,9,lawyer,2.0,0,1,sub021,free viewing,1.0
9,10,drunk_driving,1.0,1,0,sub021,free viewing,1.0
10,11,binge_drinking,1.0,0,1,sub021,free viewing,1.0
11,12,stop_smoking,4.0,1,1,sub021,free viewing,1.0
12,13,pizza,2.0,1,1,sub021,free viewing,1.0
13,14,underage_drinking,4.0,0,1,sub021,free viewing,1.0
14,15,buckle_up,2.0,0,1,sub021,free viewing,1.0
15,16,education_donation,3.0,0,0,sub021,free viewing,1.0
16,17,disobey_vape,2.0,1,1,sub021,free viewing,1.0
17,18,distracted_driving,2.0,0,0,sub021,free viewing,1.0
18,19,coffee,1.0,1,1,sub021,free viewing,1.0
19,20,furniture,1.0,0,0,sub021,free viewing,1.0
0,1,furniture,1.0,0,0,sub022,free viewing,1.0
1,2,smartphone,1.0,0,0,sub022,free viewing,1.0
2,3,drunk_driving,3.0,0,1,sub022,free viewing,1.0
3,4,coffee,1.0,0,0,sub022,free viewing,1.0
4,5,hotel,2.0,0,0,sub022,free viewing,1.0
5,6,underage_drinking,1.0,0,0,sub022,free viewing,1.0
6,7,disobey_vape,2.0,0,0,sub022,free viewing,1.0
7,8,salad,1.0,0,1,sub022,free viewing,1.0
8,9,education_donation,2.0,0,1,sub022,free viewing,1.0
9,10,burger,0.0,0,1,sub022,free viewing,0.0
10,11,buckle_up,1.0,1,1,sub022,free viewing,1.0
11,12,distracted_driving,2.0,1,1,sub022,free viewing,1.0
12,13,pizza,1.0,1,1,sub022,free viewing,1.0
13,14,binge_drinking,1.0,0,0,sub022,free viewing,1.0
14,15,stop_smoking,1.0,0,1,sub022,free viewing,1.0
15,16,drugged_driving,0.0,0,1,sub022,free viewing,0.0
16,17,texting_driving,3.0,1,1,sub022,free viewing,1.0
17,18,marijuana_driving,2.0,0,1,sub022,free viewing,1.0
18,19,brunch,2.0,1,1,sub022,free viewing,1.0
19,20,lawyer,3.0,0,1,sub022,free viewing,1.0
0,1,marijuana_driving,3.0,0,1,sub023,free viewing,1.0
1,2,smartphone,3.0,0,1,sub023,free viewing,1.0
2,3,lawyer,3.0,0,1,sub023,free viewing,1.0
3,4,education_donation,2.0,0,1,sub023,free viewing,1.0
4,5,burger,2.0,1,1,sub023,free viewing,1.0
5,6,underage_drinking,2.0,0,1,sub023,free viewing,1.0
6,7,binge_drinking,4.0,0,1,sub023,free viewing,1.0
7,8,furniture,1.0,1,1,sub023,free viewing,1.0
8,9,buckle_up,3.0,1,1,sub023,free viewing,1.0
9,10,distracted_driving,1.0,0,1,sub023,free viewing,1.0
10,11,drugged_driving,1.0,1,1,sub023,free viewing,1.0
11,12,disobey_vape,4.0,1,1,sub023,free viewing,1.0
12,13,salad,2.0,0,1,sub023,free viewing,1.0
13,14,texting_driving,0.0,0,1,sub023,free viewing,0.0
14,15,brunch,1.0,0,1,sub023,free viewing,1.0
15,16,pizza,1.0,1,1,sub023,free viewing,1.0
16,17,stop_smoking,1.0,1,1,sub023,free viewing,1.0
17,18,coffee,3.0,1,1,sub023,free viewing,1.0
18,19,drunk_driving,2.0,1,1,sub023,free viewing,1.0
19,20,hotel,2.0,0,1,sub023,free viewing,1.0
0,1,burger,0.0,1,1,sub024,free viewing,0.0
1,2,pizza,0.0,1,1,sub024,free viewing,0.0
2,3,texting_driving,0.0,0,1,sub024,free viewing,0.0
3,4,drunk_driving,0.0,0,1,sub024,free viewing,0.0
4,5,binge_drinking,0.0,0,0,sub024,free viewing,0.0
5,6,smartphone,0.0,0,0,sub024,free viewing,0.0
6,7,salad,1.0,1,1,sub024,free viewing,1.0
7,8,hotel,0.0,0,1,sub024,free viewing,0.0
8,9,underage_drinking,0.0,0,0,sub024,free viewing,0.0
9,10,stop_smoking,1.0,1,1,sub024,free viewing,1.0
10,11,disobey_vape,3.0,1,1,sub024,free viewing,1.0
11,12,lawyer,3.0,0,1,sub024,free viewing,1.0
12,13,coffee,0.0,0,0,sub024,free viewing,0.0
13,14,drugged_driving,3.0,1,1,sub024,free viewing,1.0
14,15,education_donation,3.0,0,0,sub024,free viewing,1.0
15,16,buckle_up,1.0,0,0,sub024,free viewing,1.0
16,17,distracted_driving,1.0,0,1,sub024,free viewing,1.0
17,18,furniture,1.0,0,0,sub024,free viewing,1.0
18,19,brunch,1.0,1,1,sub024,free viewing,1.0
19,20,marijuana_driving,9.0,1,1,sub024,free viewing,1.0
0,1,disobey_vape,2.0,0,0,sub025,free viewing,1.0
1,2,salad,8.0,1,1,sub025,free viewing,1.0
2,3,stop_smoking,6.0,0,0,sub025,free viewing,1.0
3,4,smartphone,5.0,0,0,sub025,free viewing,1.0
4,5,pizza,7.0,1,1,sub025,free viewing,1.0
5,6,drugged_driving,4.0,0,0,sub025,free viewing,1.0
6,7,texting_driving,4.0,0,0,sub025,free viewing,1.0
7,8,hotel,3.0,0,1,sub025,free viewing,1.0
8,9,binge_drinking,8.0,0,0,sub025,free viewing,1.0
9,10,brunch,7.0,0,1,sub025,free viewing,1.0
10,11,burger,7.0,0,1,sub025,free viewing,1.0
11,12,underage_drinking,2.0,0,0,sub025,free viewing,1.0
12,13,lawyer,4.0,1,1,sub025,free viewing,1.0
13,14,furniture,6.0,0,1,sub025,free viewing,1.0
14,15,education_donation,5.0,0,0,sub025,free viewing,1.0
15,16,marijuana_driving,4.0,0,1,sub025,free viewing,1.0
16,17,coffee,3.0,1,1,sub025,free viewing,1.0
17,18,distracted_driving,4.0,0,0,sub025,free viewing,1.0
18,19,drunk_driving,5.0,0,1,sub025,free viewing,1.0
19,20,buckle_up,7.0,0,0,sub025,free viewing,1.0
0,1,pizza,1.0,0,0,sub026,free viewing,1.0
1,2,texting_driving,1.0,1,0,sub026,free viewing,1.0
2,3,marijuana_driving,1.0,0,1,sub026,free viewing,1.0
3,4,binge_drinking,2.0,0,1,sub026,free viewing,1.0
4,5,smartphone,1.0,0,1,sub026,free viewing,1.0
5,6,coffee,0.0,0,1,sub026,free viewing,0.0
6,7,lawyer,1.0,0,0,sub026,free viewing,1.0
7,8,brunch,1.0,1,1,sub026,free viewing,1.0
8,9,education_donation,1.0,0,1,sub026,free viewing,1.0
9,10,distracted_driving,1.0,1,1,sub026,free viewing,1.0
10,11,stop_smoking,1.0,0,0,sub026,free viewing,1.0
11,12,furniture,1.0,0,1,sub026,free viewing,1.0
12,13,underage_drinking,2.0,0,1,sub026,free viewing,1.0
13,14,hotel,1.0,0,1,sub026,free viewing,1.0
14,15,disobey_vape,1.0,1,1,sub026,free viewing,1.0
15,16,burger,4.0,1,1,sub026,free viewing,1.0
16,17,buckle_up,0.0,1,1,sub026,free viewing,0.0
17,18,drugged_driving,1.0,1,1,sub026,free viewing,1.0
18,19,salad,2.0,0,1,sub026,free viewing,1.0
19,20,drunk_driving,0.0,1,0,sub026,free viewing,0.0
0,1,drunk_driving,3.0,1,1,sub027,free viewing,1.0
1,2,pizza,5.0,1,1,sub027,free viewing,1.0
2,3,furniture,5.0,0,0,sub027,free viewing,1.0
3,4,binge_drinking,5.0,1,1,sub027,free viewing,1.0
4,5,education_donation,4.0,0,1,sub027,free viewing,1.0
5,6,stop_smoking,5.0,0,1,sub027,free viewing,1.0
6,7,texting_driving,4.0,0,1,sub027,free viewing,1.0
7,8,brunch,2.0,0,1,sub027,free viewing,1.0
8,9,coffee,6.0,0,1,sub027,free viewing,1.0
9,10,hotel,4.0,0,1,sub027,free viewing,1.0
10,11,underage_drinking,8.0,0,1,sub027,free viewing,1.0
11,12,disobey_vape,5.0,1,1,sub027,free viewing,1.0
12,13,drugged_driving,6.0,0,1,sub027,free viewing,1.0
13,14,salad,5.0,0,1,sub027,free viewing,1.0
14,15,burger,2.0,1,1,sub027,free viewing,1.0
15,16,buckle_up,4.0,0,1,sub027,free viewing,1.0
16,17,marijuana_driving,8.0,0,1,sub027,free viewing,1.0
17,18,distracted_driving,4.0,1,1,sub027,free viewing,1.0
18,19,smartphone,6.0,0,1,sub027,free viewing,1.0
19,20,lawyer,7.0,0,1,sub027,free viewing,1.0
0,1,disobey_vape,3.0,1,1,sub028,free viewing,1.0
1,2,education_donation,2.0,0,0,sub028,free viewing,1.0
2,3,coffee,1.0,0,0,sub028,free viewing,1.0
3,4,buckle_up,3.0,0,0,sub028,free viewing,1.0
4,5,burger,2.0,1,1,sub028,free viewing,1.0
5,6,smartphone,2.0,0,0,sub028,free viewing,1.0
6,7,underage_drinking,3.0,1,1,sub028,free viewing,1.0
7,8,binge_drinking,2.0,1,1,sub028,free viewing,1.0
8,9,lawyer,2.0,0,0,sub028,free viewing,1.0
9,10,drugged_driving,4.0,0,0,sub028,free viewing,1.0
10,11,hotel,1.0,0,0,sub028,free viewing,1.0
11,12,pizza,3.0,0,0,sub028,free viewing,1.0
12,13,marijuana_driving,5.0,0,0,sub028,free viewing,1.0
13,14,brunch,2.0,1,1,sub028,free viewing,1.0
14,15,distracted_driving,4.0,1,1,sub028,free viewing,1.0
15,16,furniture,2.0,0,0,sub028,free viewing,1.0
16,17,texting_driving,4.0,1,1,sub028,free viewing,1.0
17,18,stop_smoking,5.0,1,1,sub028,free viewing,1.0
18,19,drunk_driving,2.0,0,0,sub028,free viewing,1.0
19,20,salad,4.0,0,0,sub028,free viewing,1.0
0,1,smartphone,2.0,0,0,sub029,free viewing,1.0
1,2,disobey_vape,3.0,0,1,sub029,free viewing,1.0
2,3,drunk_driving,4.0,1,1,sub029,free viewing,1.0
3,4,underage_drinking,3.0,0,1,sub029,free viewing,1.0
4,5,binge_drinking,3.0,0,1,sub029,free viewing,1.0
5,6,furniture,3.0,0,1,sub029,free viewing,1.0
6,7,burger,1.0,0,1,sub029,free viewing,1.0
7,8,hotel,1.0,1,1,sub029,free viewing,1.0
8,9,buckle_up,4.0,0,1,sub029,free viewing,1.0
9,10,texting_driving,0.0,1,1,sub029,free viewing,0.0
10,11,stop_smoking,5.0,1,1,sub029,free viewing,1.0
11,12,education_donation,5.0,0,1,sub029,free viewing,1.0
12,13,salad,4.0,0,1,sub029,free viewing,1.0
13,14,marijuana_driving,1.0,1,1,sub029,free viewing,1.0
14,15,drugged_driving,3.0,1,1,sub029,free viewing,1.0
15,16,pizza,2.0,1,1,sub029,free viewing,1.0
16,17,lawyer,2.0,1,1,sub029,free viewing,1.0
17,18,brunch,3.0,1,1,sub029,free viewing,1.0
18,19,distracted_driving,3.0,0,1,sub029,free viewing,1.0
19,20,coffee,5.0,0,1,sub029,free viewing,1.0
0,1,drugged_driving,2.0,0,1,sub030,free viewing,1.0
1,2,buckle_up,1.0,1,1,sub030,free viewing,1.0
2,3,smartphone,1.0,0,0,sub030,free viewing,1.0
3,4,brunch,2.0,0,1,sub030,free viewing,1.0
4,5,burger,1.0,0,0,sub030,free viewing,1.0
5,6,underage_drinking,2.0,0,1,sub030,free viewing,1.0
6,7,marijuana_driving,1.0,0,1,sub030,free viewing,1.0
7,8,salad,1.0,0,1,sub030,free viewing,1.0
8,9,binge_drinking,5.0,0,0,sub030,free viewing,1.0
9,10,drunk_driving,2.0,1,1,sub030,free viewing,1.0
10,11,pizza,2.0,1,1,sub030,free viewing,1.0
11,12,stop_smoking,3.0,1,1,sub030,free viewing,1.0
12,13,furniture,2.0,0,1,sub030,free viewing,1.0
13,14,education_donation,3.0,0,1,sub030,free viewing,1.0
14,15,coffee,1.0,0,0,sub030,free viewing,1.0
15,16,texting_driving,2.0,0,1,sub030,free viewing,1.0
16,17,hotel,2.0,0,1,sub030,free viewing,1.0
17,18,lawyer,3.0,1,1,sub030,free viewing,1.0
18,19,disobey_vape,2.0,1,1,sub030,free viewing,1.0
19,20,distracted_driving,2.0,0,1,sub030,free viewing,1.0
0,1,pizza,0.0,0,0,sub031,free viewing,0.0
1,2,drugged_driving,0.0,0,1,sub031,free viewing,0.0
2,3,disobey_vape,1.0,1,1,sub031,free viewing,1.0
3,4,lawyer,4.0,0,1,sub031,free viewing,1.0
4,5,salad,1.0,0,1,sub031,free viewing,1.0
5,6,buckle_up,0.0,1,1,sub031,free viewing,0.0
6,7,underage_drinking,1.0,0,1,sub031,free viewing,1.0
7,8,stop_smoking,3.0,0,1,sub031,free viewing,1.0
8,9,burger,2.0,1,1,sub031,free viewing,1.0
9,10,texting_driving,3.0,0,1,sub031,free viewing,1.0
10,11,furniture,1.0,0,0,sub031,free viewing,1.0
11,12,coffee,2.0,0,0,sub031,free viewing,1.0
12,13,drunk_driving,6.0,1,1,sub031,free viewing,1.0
13,14,education_donation,1.0,1,1,sub031,free viewing,1.0
14,15,distracted_driving,1.0,0,1,sub031,free viewing,1.0
15,16,smartphone,1.0,0,0,sub031,free viewing,1.0
16,17,hotel,3.0,0,0,sub031,free viewing,1.0
17,18,brunch,1.0,0,0,sub031,free viewing,1.0
18,19,binge_drinking,3.0,0,0,sub031,free viewing,1.0
19,20,marijuana_driving,1.0,0,0,sub031,free viewing,1.0
0,1,marijuana_driving,4.0,0,0,sub032,free viewing,1.0
1,2,underage_drinking,5.0,0,0,sub032,free viewing,1.0
2,3,hotel,3.0,0,0,sub032,free viewing,1.0
3,4,smartphone,3.0,0,1,sub032,free viewing,1.0
4,5,drunk_driving,4.0,0,0,sub032,free viewing,1.0
5,6,binge_drinking,3.0,0,0,sub032,free viewing,1.0
6,7,distracted_driving,5.0,0,0,sub032,free viewing,1.0
7,8,texting_driving,3.0,0,0,sub032,free viewing,1.0
8,9,coffee,4.0,1,1,sub032,free viewing,1.0
9,10,furniture,2.0,0,0,sub032,free viewing,1.0
10,11,brunch,5.0,0,1,sub032,free viewing,1.0
11,12,buckle_up,4.0,1,1,sub032,free viewing,1.0
12,13,drugged_driving,3.0,1,1,sub032,free viewing,1.0
13,14,education_donation,3.0,0,0,sub032,free viewing,1.0
14,15,burger,4.0,0,1,sub032,free viewing,1.0
15,16,salad,4.0,1,1,sub032,free viewing,1.0
16,17,pizza,1.0,1,1,sub032,free viewing,1.0
17,18,lawyer,2.0,0,1,sub032,free viewing,1.0
18,19,disobey_vape,4.0,0,1,sub032,free viewing,1.0
19,20,stop_smoking,4.0,1,1,sub032,free viewing,1.0
0,1,marijuana_driving,1.0,0,1,sub033,free viewing,1.0
1,2,stop_smoking,4.0,0,1,sub033,free viewing,1.0
2,3,pizza,2.0,1,1,sub033,free viewing,1.0
3,4,texting_driving,2.0,0,1,sub033,free viewing,1.0
4,5,drunk_driving,1.0,0,0,sub033,free viewing,1.0
5,6,drugged_driving,2.0,0,1,sub033,free viewing,1.0
6,7,salad,2.0,0,1,sub033,free viewing,1.0
7,8,disobey_vape,3.0,0,1,sub033,free viewing,1.0
8,9,brunch,4.0,1,1,sub033,free viewing,1.0
9,10,binge_drinking,2.0,1,1,sub033,free viewing,1.0
10,11,distracted_driving,4.0,0,1,sub033,free viewing,1.0
11,12,burger,3.0,0,1,sub033,free viewing,1.0
12,13,coffee,4.0,0,1,sub033,free viewing,1.0
13,14,smartphone,1.0,0,0,sub033,free viewing,1.0
14,15,furniture,4.0,0,1,sub033,free viewing,1.0
15,16,buckle_up,1.0,0,1,sub033,free viewing,1.0
16,17,lawyer,2.0,1,1,sub033,free viewing,1.0
17,18,education_donation,4.0,0,1,sub033,free viewing,1.0
18,19,underage_drinking,3.0,0,1,sub033,free viewing,1.0
19,20,hotel,5.0,0,1,sub033,free viewing,1.0
0,1,salad,3.0,0,1,sub034,free viewing,1.0
1,2,distracted_driving,4.0,0,1,sub034,free viewing,1.0
2,3,education_donation,8.0,0,1,sub034,free viewing,1.0
3,4,brunch,2.0,0,1,sub034,free viewing,1.0
4,5,coffee,4.0,1,1,sub034,free viewing,1.0
5,6,burger,3.0,1,1,sub034,free viewing,1.0
6,7,disobey_vape,2.0,1,1,sub034,free viewing,1.0
7,8,drugged_driving,0.0,0,1,sub034,free viewing,0.0
8,9,furniture,0.0,0,1,sub034,free viewing,0.0
9,10,smartphone,0.0,0,1,sub034,free viewing,0.0
10,11,marijuana_driving,0.0,1,0,sub034,free viewing,0.0
11,12,drunk_driving,4.0,0,0,sub034,free viewing,1.0
12,13,hotel,4.0,0,1,sub034,free viewing,1.0
13,14,underage_drinking,0.0,0,1,sub034,free viewing,0.0
14,15,binge_drinking,0.0,0,1,sub034,free viewing,0.0
15,16,buckle_up,3.0,1,1,sub034,free viewing,1.0
16,17,texting_driving,2.0,0,1,sub034,free viewing,1.0
17,18,lawyer,0.0,0,1,sub034,free viewing,0.0
18,19,pizza,0.0,1,1,sub034,free viewing,0.0
19,20,stop_smoking,0.0,0,1,sub034,free viewing,0.0
0,1,coffee,4.0,0,1,sub035,free viewing,1.0
1,2,disobey_vape,3.0,1,0,sub035,free viewing,1.0
2,3,brunch,1.0,0,0,sub035,free viewing,1.0
3,4,furniture,1.0,0,0,sub035,free viewing,1.0
4,5,drugged_driving,4.0,0,1,sub035,free viewing,1.0
5,6,education_donation,2.0,0,1,sub035,free viewing,1.0
6,7,lawyer,1.0,0,1,sub035,free viewing,1.0
7,8,hotel,2.0,1,1,sub035,free viewing,1.0
8,9,pizza,0.0,0,0,sub035,free viewing,0.0
9,10,salad,2.0,0,1,sub035,free viewing,1.0
10,11,smartphone,1.0,0,0,sub035,free viewing,1.0
11,12,texting_driving,1.0,0,1,sub035,free viewing,1.0
12,13,marijuana_driving,2.0,0,1,sub035,free viewing,1.0
13,14,burger,1.0,1,1,sub035,free viewing,1.0
14,15,distracted_driving,2.0,0,0,sub035,free viewing,1.0
15,16,binge_drinking,1.0,0,0,sub035,free viewing,1.0
16,17,stop_smoking,2.0,1,1,sub035,free viewing,1.0
17,18,underage_drinking,2.0,0,1,sub035,free viewing,1.0
18,19,buckle_up,0.0,1,1,sub035,free viewing,0.0
19,20,drunk_driving,3.0,1,0,sub035,free viewing,1.0
0,1,marijuana_driving,1.0,1,1,sub036,free viewing,1.0
1,2,coffee,7.0,0,1,sub036,free viewing,1.0
2,3,pizza,4.0,0,1,sub036,free viewing,1.0
3,4,smartphone,4.0,0,0,sub036,free viewing,1.0
4,5,furniture,4.0,0,1,sub036,free viewing,1.0
5,6,drugged_driving,2.0,0,1,sub036,free viewing,1.0
6,7,drunk_driving,2.0,1,0,sub036,free viewing,1.0
7,8,stop_smoking,6.0,1,0,sub036,free viewing,1.0
8,9,distracted_driving,4.0,1,0,sub036,free viewing,1.0
9,10,texting_driving,2.0,0,1,sub036,free viewing,1.0
10,11,buckle_up,6.0,1,1,sub036,free viewing,1.0
11,12,hotel,1.0,0,0,sub036,free viewing,1.0
12,13,disobey_vape,3.0,0,0,sub036,free viewing,1.0
13,14,burger,5.0,0,1,sub036,free viewing,1.0
14,15,underage_drinking,6.0,0,1,sub036,free viewing,1.0
15,16,lawyer,3.0,1,1,sub036,free viewing,1.0
16,17,brunch,6.0,0,1,sub036,free viewing,1.0
17,18,education_donation,6.0,0,1,sub036,free viewing,1.0
18,19,binge_drinking,3.0,0,1,sub036,free viewing,1.0
19,20,salad,5.0,0,0,sub036,free viewing,1.0
0,1,education_donation,3.0,0,0,sub037,free viewing,1.0
1,2,smartphone,5.0,1,1,sub037,free viewing,1.0
2,3,lawyer,5.0,0,1,sub037,free viewing,1.0
3,4,buckle_up,2.0,0,1,sub037,free viewing,1.0
4,5,drunk_driving,6.0,1,0,sub037,free viewing,1.0
5,6,stop_smoking,5.0,1,1,sub037,free viewing,1.0
6,7,disobey_vape,3.0,0,1,sub037,free viewing,1.0
7,8,distracted_driving,5.0,0,0,sub037,free viewing,1.0
8,9,texting_driving,5.0,0,1,sub037,free viewing,1.0
9,10,brunch,3.0,1,1,sub037,free viewing,1.0
10,11,underage_drinking,5.0,0,1,sub037,free viewing,1.0
11,12,drugged_driving,4.0,1,1,sub037,free viewing,1.0
12,13,furniture,2.0,0,0,sub037,free viewing,1.0
13,14,binge_drinking,3.0,0,1,sub037,free viewing,1.0
14,15,pizza,2.0,0,1,sub037,free viewing,1.0
15,16,coffee,4.0,1,1,sub037,free viewing,1.0
16,17,hotel,2.0,0,0,sub037,free viewing,1.0
17,18,salad,3.0,0,1,sub037,free viewing,1.0
18,19,marijuana_driving,4.0,1,1,sub037,free viewing,1.0
19,20,burger,4.0,0,1,sub037,free viewing,1.0
0,1,disobey_vape,4.0,0,1,sub038,free viewing,1.0
1,2,underage_drinking,5.0,0,1,sub038,free viewing,1.0
2,3,burger,5.0,0,1,sub038,free viewing,1.0
3,4,furniture,7.0,0,0,sub038,free viewing,1.0
4,5,stop_smoking,3.0,0,1,sub038,free viewing,1.0
5,6,coffee,4.0,0,0,sub038,free viewing,1.0
6,7,distracted_driving,3.0,0,0,sub038,free viewing,1.0
7,8,lawyer,2.0,0,1,sub038,free viewing,1.0
8,9,salad,2.0,1,1,sub038,free viewing,1.0
9,10,drugged_driving,0.0,0,0,sub038,free viewing,0.0
10,11,buckle_up,6.0,1,1,sub038,free viewing,1.0
11,12,brunch,1.0,0,1,sub038,free viewing,1.0
12,13,marijuana_driving,6.0,1,1,sub038,free viewing,1.0
13,14,drunk_driving,1.0,0,0,sub038,free viewing,1.0
14,15,texting_driving,6.0,1,1,sub038,free viewing,1.0
15,16,hotel,1.0,0,1,sub038,free viewing,1.0
16,17,binge_drinking,5.0,1,0,sub038,free viewing,1.0
17,18,education_donation,3.0,1,1,sub038,free viewing,1.0
18,19,pizza,4.0,0,1,sub038,free viewing,1.0
19,20,smartphone,4.0,0,0,sub038,free viewing,1.0
0,1,texting_driving,0.0,0,0,sub039,free viewing,0.0
1,2,smartphone,1.0,0,1,sub039,free viewing,1.0
2,3,hotel,5.0,0,1,sub039,free viewing,1.0
3,4,stop_smoking,2.0,1,1,sub039,free viewing,1.0
4,5,binge_drinking,4.0,1,1,sub039,free viewing,1.0
5,6,furniture,4.0,1,1,sub039,free viewing,1.0
6,7,distracted_driving,2.0,1,1,sub039,free viewing,1.0
7,8,burger,1.0,0,1,sub039,free viewing,1.0
8,9,salad,3.0,0,0,sub039,free viewing,1.0
9,10,pizza,1.0,0,1,sub039,free viewing,1.0
10,11,lawyer,1.0,0,1,sub039,free viewing,1.0
11,12,drunk_driving,1.0,0,1,sub039,free viewing,1.0
12,13,disobey_vape,2.0,0,1,sub039,free viewing,1.0
13,14,marijuana_driving,1.0,1,1,sub039,free viewing,1.0
14,15,brunch,1.0,0,1,sub039,free viewing,1.0
15,16,drugged_driving,1.0,0,1,sub039,free viewing,1.0
16,17,buckle_up,0.0,1,1,sub039,free viewing,0.0
17,18,education_donation,1.0,0,1,sub039,free viewing,1.0
18,19,coffee,4.0,0,1,sub039,free viewing,1.0
19,20,underage_drinking,2.0,0,0,sub039,free viewing,1.0
0,1,stop_smoking,3.0,0,0,sub040,free viewing,1.0
1,2,hotel,1.0,0,1,sub040,free viewing,1.0
2,3,burger,3.0,0,1,sub040,free viewing,1.0
3,4,brunch,1.0,0,1,sub040,free viewing,1.0
4,5,distracted_driving,4.0,0,0,sub040,free viewing,1.0
5,6,drunk_driving,3.0,1,1,sub040,free viewing,1.0
6,7,disobey_vape,3.0,1,1,sub040,free viewing,1.0
7,8,salad,3.0,1,1,sub040,free viewing,1.0
8,9,marijuana_driving,2.0,1,0,sub040,free viewing,1.0
9,10,drugged_driving,4.0,1,1,sub040,free viewing,1.0
10,11,coffee,2.0,0,1,sub040,free viewing,1.0
11,12,binge_drinking,2.0,0,1,sub040,free viewing,1.0
12,13,buckle_up,4.0,0,1,sub040,free viewing,1.0
13,14,education_donation,1.0,0,1,sub040,free viewing,1.0
14,15,underage_drinking,1.0,0,0,sub040,free viewing,1.0
15,16,furniture,2.0,0,1,sub040,free viewing,1.0
16,17,pizza,1.0,0,1,sub040,free viewing,1.0
17,18,smartphone,1.0,0,1,sub040,free viewing,1.0
18,19,texting_driving,2.0,0,0,sub040,free viewing,1.0
19,20,lawyer,2.0,0,1,sub040,free viewing,1.0
